Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Hooke-Jeeves;1;0.659584;-0.620026;-4.66109e-07;0.774715;202;0,619837; ;TAK
Hooke-Jeeves;1;-0.272367;-0.668938;0.774716;0.774715;201;1,23967; ;TAK
Hooke-Jeeves;1;-0.41972;0.405461;-3.20427e-07;0.774716;210;0,619837; ;TAK
Hooke-Jeeves;1;-0.871619;-0.914702;-7.3592e-07;-1.93035e-07;203;1,84319e-11; ;TAK
Hooke-Jeeves;1;0.794095;-0.204459;0.774716;0.774715;196;1,23967; ;TAK
Hooke-Jeeves;1;0.0522982;-0.862391;5.69403e-07;-3.29618e-07;212;1,37836e-11; ;TAK
Hooke-Jeeves;1;-0.231463;-0.014313;0.774716;-2.46108e-07;169;0,619837; ;TAK
Hooke-Jeeves;1;0.425067;0.868869;0.774716;0.774716;191;1,23967; ;TAK
Hooke-Jeeves;1;0.371822;-0.15313;0.774715;0.774715;221;1,23967; ;TAK
Hooke-Jeeves;1;-0.781801;-0.483777;-0.774715;8.03719e-07;241;0,619837; ;TAK
Hooke-Jeeves;1;-0.0308383;0.249088;-3.22933e-07;-0.774716;142;0,619837; ;TAK
Hooke-Jeeves;1;-0.792303;0.204506;-0.774715;-0.774715;188;1,23967; ;TAK
Hooke-Jeeves;1;0.327839;0.685905;0.774716;0.774715;225;1,23967; ;TAK
Hooke-Jeeves;1;-0.975386;0.643404;-1.17589e-07;-1.41093e-07;203;1,07425e-12; ;TAK
Hooke-Jeeves;1;0.617191;0.431124;-5.94312e-07;0.774716;189;0,619837; ;TAK
Hooke-Jeeves;1;-0.73704;-0.0963607;-0.774716;4.35025e-07;185;0,619837; ;TAK
Hooke-Jeeves;1;0.763283;-0.203463;0.774716;0.774716;188;1,23967; ;TAK
Hooke-Jeeves;1;-0.224703;-0.970513;0.774715;-4.43342e-07;178;0,619837; ;TAK
Hooke-Jeeves;1;0.281909;-0.163979;-0.774716;0.774717;165;1,23967; ;TAK
Hooke-Jeeves;1;0.206505;0.821714;-0.774715;0.774715;183;1,23967; ;TAK
Hooke-Jeeves;1;-0.212631;-0.865804;0.774716;6.16369e-07;201;0,619837; ;TAK
Hooke-Jeeves;1;-0.146462;-0.704981;0.774716;-0.774716;201;1,23967; ;TAK
Hooke-Jeeves;1;-0.447996;0.826716;1.68578e-07;0.774716;169;0,619837; ;TAK
Hooke-Jeeves;1;-0.853561;-0.528773;3.52848e-08;0.774716;202;0,619837; ;TAK
Hooke-Jeeves;1;-0.811315;0.839514;-0.774716;0.774716;217;1,23967; ;TAK
Hooke-Jeeves;1;-0.908488;-0.96057;0.0915121;0.0394295;1003;0,304858; ;NIE
Hooke-Jeeves;1;-0.29143;0.951423;0.774715;-7.27449e-07;403;0,619837; ;TAK
Hooke-Jeeves;1;-0.725146;0.522913;-0.774716;3.0542e-07;205;0,619837; ;TAK
Hooke-Jeeves;1;0.78877;0.0255176;0.774715;-7.89983e-07;182;0,619837; ;TAK
Hooke-Jeeves;1;-0.840341;-0.983772;3.41891e-07;-1.37857e-07;184;4,32721e-12; ;TAK
Hooke-Jeeves;1;-0.671029;-0.701254;0.774715;-0.774715;201;1,23967; ;TAK
Hooke-Jeeves;1;0.798195;-0.0213641;0.774716;1.51862e-07;175;0,619837; ;TAK
Hooke-Jeeves;1;-0.905966;-0.339535;-6.20753e-07;-5.16017e-07;211;2,07487e-11; ;TAK
Hooke-Jeeves;1;0.880117;0.240914;-3.27584e-07;-0.774715;174;0,619837; ;TAK
Hooke-Jeeves;1;-0.654269;0.218447;0.774716;-0.774717;158;1,23967; ;TAK
Hooke-Jeeves;1;-0.312426;0.137408;0.774715;3.75932e-07;481;0,619837; ;TAK
Hooke-Jeeves;1;-0.301635;-0.34136;0.774716;5.35376e-07;210;0,619837; ;TAK
Hooke-Jeeves;1;-0.419117;0.904629;2.42174e-07;-5.84725e-08;339;1,97642e-12; ;TAK
Hooke-Jeeves;1;-0.291806;0.11946;0.774716;6.47675e-07;410;0,619837; ;TAK
Hooke-Jeeves;1;0.100179;-0.0356229;-1.94717e-07;6.34316e-07;194;1,40195e-11; ;TAK
Hooke-Jeeves;1;0.821433;0.194963;0.774717;-0.774716;181;1,23967; ;TAK
Hooke-Jeeves;1;-0.945282;0.597828;-4.44437e-07;1.85959e-08;192;6,30074e-12; ;TAK
Hooke-Jeeves;1;-0.253124;0.636664;0.774716;6.31566e-07;183;0,619837; ;TAK
Hooke-Jeeves;1;-0.285769;0.291373;0.774717;-0.774715;172;1,23967; ;TAK
Hooke-Jeeves;1;0.828948;0.104437;0.774716;5.93049e-07;189;0,619837; ;TAK
Hooke-Jeeves;1;-0.712606;0.0739275;-0.774715;6.00066e-07;182;0,619837; ;TAK
Hooke-Jeeves;1;0.412555;-0.410511;0.774716;4.25964e-07;225;0,619837; ;TAK
Hooke-Jeeves;1;0.533445;-0.466254;-1.18775e-07;-8.33376e-07;179;2,25644e-11; ;TAK
Hooke-Jeeves;1;-0.81988;-0.212224;-0.774716;0.774716;165;1,23967; ;TAK
Hooke-Jeeves;1;-0.483677;-0.402565;2.56184e-07;-1.45123e-08;188;2,09655e-12; ;TAK
Hooke-Jeeves;1;-0.329484;-0.387725;7.7168e-07;7.25091e-07;194;3,57034e-11; ;TAK
Hooke-Jeeves;1;-0.995407;-0.569968;2.87958e-07;0.774715;196;0,619837; ;TAK
Hooke-Jeeves;1;0.507019;-0.149002;0.00701916;0.850998;1002;0,804915; ;NIE
Hooke-Jeeves;1;0.890142;0.510439;-5.33992e-07;-3.78621e-07;190;1,36446e-11; ;TAK
Hooke-Jeeves;1;0.116508;-0.0193631;-5.42914e-07;3.04754e-07;173;1,2343e-11; ;TAK
Hooke-Jeeves;1;-0.646644;0.691338;0.774716;0.774716;177;1,23967; ;TAK
Hooke-Jeeves;1;-0.252121;0.14354;0.774715;3.16701e-07;181;0,619837; ;TAK
